GRANDE_AREA_DO_CONHECIMENTO_1;AREA_DO_CONHECIMENTO_1;SUB_AREA_DO_CONHECIMENTO_1;ESPECIALIDADE_DO_CONHECIMENTO_1;GRANDE_AREA_DO_CONHECIMENTO_2;AREA_DO_CONHECIMENTO_2;SUB_AREA_DO_CONHECIMENTO_2;ESPECIALIDADE_DO_CONHECIMENTO_2;GRANDE_AREA_DO_CONHECIMENTO_3;AREA_DO_CONHECIMENTO_3;SUB_AREA_DO_CONHECIMENTO_3;ESPECIALIDADE_DO_CONHECIMENTO_3
CIENCIAS_DA_SAUDE;Educação Física;;;;;;;;;;
CIENCIAS_DA_SAUDE;Educação Física;;;;;;;;;;
CIENCIAS_DA_SAUDE;Educação Física;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_DA_SAUDE;Educação Física;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;VIABILIDADE ECONOMICA;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;;;;
;;;;;;;;;;;
CIENCIAS_AGRARIAS;Agronomia;;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água;CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;Manejo e Conservação do Solo
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Sensoriamento remoto;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;Chemical Treatment, Dry Matter, Lime, Roughage;;;;;;;;;
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Tecnologia Educacional;CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Métodos e Técnicas de Ensino;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Análise de Traços e Química Ambiental;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;;;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Análise de Traços e Química Ambiental;;;;
;;;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;;;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;;;;;
ENGENHARIAS;Engenharia Sanitária;;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Análise de Traços e Química Ambiental;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Instrumentação Analítica;;;;;;;;
CIENCIAS_AGRARIAS;Agronomia;Olericultura;;CIENCIAS_AGRARIAS;Agronomia;Holericultura;Produção vegetal;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;Melhoramento Vegetal
CIENCIAS_AGRARIAS;Agronomia;Olericultura;;CIENCIAS_AGRARIAS;Agronomia;Holericultura;Produção vegetal;;;;
CIENCIAS_AGRARIAS;Agronomia;Olericultura;;CIENCIAS_AGRARIAS;Agronomia;Holericultura;Produção vegetal;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_AGRARIAS;Agronomia;Fitossanidade;Fitopatologia;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Instrumentação Analítica;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_HUMANAS;Geografia;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_HUMANAS;Geografia;GEOGRAFIA FÍSICA;;;;;;;;;
CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;;;;;;;;;
CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;;CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;Manejo e Conservação do Solo e Água;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;Conservação de Solo e Água;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;Ambiente Protegido
CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;Ambiente Protegido;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;Conservação de Solo e Água;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água
CIENCIAS_AGRARIAS;Engenharia Agrícola;ENGENHARIA RURAL;;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;Conservação de Solo e Água;;;;
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água
CIENCIAS_AGRARIAS;Agronomia;Ciências Agrárias;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;VIABILIDADE ECONOMICA
CIENCIAS_AGRARIAS;Engenharia Agrícola;ENGENHARIA RURAL;;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;Irrigação e Drenagem;;;;
CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;Conservação de Solo e Água;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;;;;
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água;;;;
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água;;;;
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água;;;;
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Salinidade em ambientes protegido
CIENCIAS_AGRARIAS;Agronomia;;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água
CIENCIAS_AGRARIAS;Agronomia;;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação
CIENCIAS_AGRARIAS;Agronomia;;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água;CIENCIAS_AGRARIAS;Engenharia Agrícola;ENGENHARIA RURAL;IRRIGAÇÃO E DRENAGEM
CIENCIAS_AGRARIAS;Agronomia;;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água
CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;Química do Solo;CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;Fertilidade do Solo e Adubação;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;Conservação de Solo e Água
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água;;;;
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;;;;
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;IRRIGAÇÃO E DRENAGEM;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Drenagem;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água
CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação;;;;
CIENCIAS_AGRARIAS;Agronomia;Ciências Agrárias;;CIENCIAS_AGRARIAS;Agronomia;Extensão Rural;;CIENCIAS_SOCIAIS_APLICADAS;Economia;;
CIENCIAS_AGRARIAS;Agronomia;;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;IRRIGAÇÃO E DRENAGEM
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;;;;;;;;;
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;;;;;;;;;
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;;;;;;;;;
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Tecnologia Educacional;CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Métodos e Técnicas de Ensino;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Tecnologia Educacional;CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Métodos e Técnicas de Ensino;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Tecnologia Educacional;CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Métodos e Técnicas de Ensino;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Tecnologia Educacional;CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Métodos e Técnicas de Ensino;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Tecnologia Educacional;CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Métodos e Técnicas de Ensino;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Tecnologia Educacional;CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Métodos e Técnicas de Ensino;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Tecnologia Educacional;CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Métodos e Técnicas de Ensino;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise
CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Tecnologia Educacional;CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Métodos e Técnicas de Ensino;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Análise de Traços e Química Ambiental;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_AGRARIAS;Agronomia;Olericultura;;CIENCIAS_DA_SAUDE;Nutrição;;;;;;
