TITULO-ARTIGO;ANO-ARTIGO;GRANDE-AREA-1;AREA-1;SUB-AREA-1;GRANDE-AREA-2;AREA-2;SUB-AREA-2;GRANDE-AREA-3;AREA-3;SUB-AREA-3
Produção e qualidade de pêssego em diferentes sistemas de cultivo.;1999;CIENCIAS_AGRARIAS;Agronomia;;;;;;;
Armazenamento de pessegos (Prunus persica (L) Batsch) cv. Chiripá em atmosfera modificada (AM);2002;CIENCIAS_AGRARIAS;Agronomia;;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;;;
Efeito da Aplicação de 1-Metilciclopropeno na Qualidade e Conservação de Pêssegos (Prunus Persica L.), Cultivar Chiripá.;2003;;;;;;;;;
Conservação de caqui (Diospyros kaki, L.), cv. Fuyu, pela aplicação de 1-metilciclopropeno;2003;;;;;;;;;
Prolongamento da vida de prateleira de pêssegos, cv. Chiripá, pela aplicação de 1-MCP;2003;;;;;;;;;
Efeito do 1-metilciclopropeno na conservação de maçãs 'Royal Gala' em ar refrigerado e atmosfera controlada;2004;;;;;;;;;
Efeito do 1- Metilciclopropeno ( 1-MCP) em maçãs Fuji armazenadas em ar refrigerado e atmosfera controlada.;2005;CIENCIAS_AGRARIAS;Agronomia;;;;;;;
Periodos de refrigeração antecedendo o armazenamento sob atmosfera controlada na conservação de caqui 'Fuyu';2004;;;;;;;;;
Influence of intermitent warming, low oxygen and high carbon dioxide, 1-MCP and ethylene on woolliness in 'Chiripá' peach;2005;;;;;;;;;
1-Methylcyclopropene in the control of the ripening and in maintenance of quality of 'Royal Gala'apples;2005;;;;;;;;;
Heat Treatmentsto to Control White Rot (Botryosphaeria dothidea) on 'Fuji' Apples;2006;;;;;;;;;
Calidad postcosecha de duraznos 'Marli' producidos em los sistemas integrado y convencional;2008;;;;;;;;;
Efeito do condicionamento sobre a qualidade pós-colheita de pêssegos  Granada ;2008;;;;;;;;;
DANOS DE FRIO E ALTERAÇÕES QUALITATIVAS DURANTE A ARMAZENAGEM REFRIGERADA DE PÊSSEGOS COLHIDOS EM DOIS ESTÁDIOS DE MATURAÇÃO;2008;;;;;;;;;
Postharvest quality of peaches harvested from integrated;2007;;;;;;;;;
Incidência de podridão-branca em frutos de macieira com e sem ferimentos.;2008;;;;;;;;;
CARACTERIZAÇÃO DE GENES DIFERENCIALMENTE EXPRESSOS NA INTERAÇÃO ENTRE MAÇÃ  FUJI  e Botryosphaeria dothidea;2009;;;;;;;;;
EDUCAÇÃO FÍSICA ESCOLAR: OBJETIVOS E COMPETÊNCIAS;2006;CIENCIAS_DA_SAUDE;Educação Física;;;;;;;
Morbidade Surto de hepatite A no município de Ibiracatu, região norte de Minas Gerais: investigação e medidas de controle;2012;;;;;;;;;
NS3 and NS5 Proteins: Important Targets for Anti-Dengue Drug Design;2014;;;;;;;;;
Natural Products as Source of Potential Dengue Antivirals;2014;;;;;;;;;
Dengue Laboratory Diagnosis: Actual Situation and Perspectives;2011;;;;;;;;;
Morbidade Surto de hepatite A no município de Ibiracatu, região norte de Minas Gerais: investigação e medidas de controle;2012;;;;;;;;;
Enhacement of Dengue-2 E Protein Expression by the Expression of the Precursor Membrane Protein (Prm) of the Dengue-3 Virus;2013;;;;;;;;;
NS3 and NS5 Proteins: Important Targets for Anti-Dengue Drug Design;2014;;;;;;;;;
Natural Products as Source of Potential Dengue Antivirals;2014;;;;;;;;;
Eucalipto irrigado tem de produzir mais: quanto é preciso aumentar a produtividade para custear cada sistema de irrigação;2006;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;;;
Influência do ângulo de visada na resposta espectral da cultura do feijão (Phaseolus vulgaris L.);2006;;;;;;;;;
Crescimento do pimentão fertirrigado com K2O;2007;CIENCIAS_AGRARIAS;Agronomia;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Deslocamento miscível do íon sódio proveniente de rejeito de dessalinizadores em colunas de solos;2007;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo
Influência da geometria de aquisição de dados radiométricos de campo no comportamento espectral da cultura do feijão (phaseolus vulgaris  L.);2009;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;;;
CO2 laser photoacoustic detection of ethylene emitted by diesel engines used in urban public transports;2010;;;;;;;;;
Photoacoustic detection and monitoring of pollutant gases from urban public transport;2010;;;;;;;;;
