TITULO_PRODUCAO;TIPO_PRODUCAO;GRANDE_AREA_DO_CONHECIMENTO_1;AREA_DO_CONHECIMENTO_1;SUB_AREA_DO_CONHECIMENTO_1;ESPECIALIDADE_DO_CONHECIMENTO_1;GRANDE_AREA_DO_CONHECIMENTO_2;AREA_DO_CONHECIMENTO_2;SUB_AREA_DO_CONHECIMENTO_2;ESPECIALIDADE_DO_CONHECIMENTO_2;GRANDE_AREA_DO_CONHECIMENTO_3;AREA_DO_CONHECIMENTO_3;SUB_AREA_DO_CONHECIMENTO_3;ESPECIALIDADE_DO_CONHECIMENTO_3
EDUCAÇÃO FÍSICA ESCOLAR: OBJETIVOS E COMPETÊNCIAS;ARTIGO;CIENCIAS_DA_SAUDE;Educação Física;;;;;;;;;;
ANÁLISE DO NÍVEL DE ATIVIDADE FÍSICA HABITUAL RELACIONADO À SAÚDE DOS ACADÊMICOS DO 8º PERÍODO DO CURSO DE EDUCAÇÃO FÍSICA DA FUNORTE E UNIMONTES;TRABALHO;CIENCIAS_DA_SAUDE;Educação Física;;;;;;;;;;
PREVALÊNCIA DE COMPONENTES DA SÍNDROME PLURIMETABÓLICA EM SERVIDORES PÚBLICOS ESTADUAIS;TRABALHO;CIENCIAS_DA_SAUDE;Educação Física;;;;;;;;;;
PREVALÊNCIA DE SOBREPESO E OBESIDADE EM ESCOLARES DA REDE PRIVADA DA CIDADE DE MONTES CLAROS - MG;TRABALHO;CIENCIAS_DA_SAUDE;Educação Física;;;;;;;;;;
Morbidade Surto de hepatite A no município de Ibiracatu, região norte de Minas Gerais: investigação e medidas de controle;ARTIGO;;;;;;;;;;;;
NS3 and NS5 Proteins: Important Targets for Anti-Dengue Drug Design;ARTIGO;;;;;;;;;;;;
Natural Products as Source of Potential Dengue Antivirals;ARTIGO;;;;;;;;;;;;
Dengue Laboratory Diagnosis: Actual Situation and Perspectives;ARTIGO;;;;;;;;;;;;
Morbidade Surto de hepatite A no município de Ibiracatu, região norte de Minas Gerais: investigação e medidas de controle;ARTIGO;;;;;;;;;;;;
Enhacement of Dengue-2 E Protein Expression by the Expression of the Precursor Membrane Protein (Prm) of the Dengue-3 Virus;ARTIGO;;;;;;;;;;;;
NS3 and NS5 Proteins: Important Targets for Anti-Dengue Drug Design;ARTIGO;;;;;;;;;;;;
Natural Products as Source of Potential Dengue Antivirals;ARTIGO;;;;;;;;;;;;
Eucalipto irrigado tem de produzir mais: quanto é preciso aumentar a produtividade para custear cada sistema de irrigação;ARTIGO;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;VIABILIDADE ECONOMICA;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;;;;
Influência do ângulo de visada na resposta espectral da cultura do feijão (Phaseolus vulgaris L);ARTIGO;;;;;;;;;;;;
Crescimento do pimentão fertirrigado com K2O;ARTIGO;CIENCIAS_AGRARIAS;Agronomia;;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Fertirrigação
Deslocamento miscível do íon sódio proveniente de rejeito de dessalinizadores em colunas de solos;ARTIGO;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Manejo da água;CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;Manejo e Conservação do Solo
Influência da geometria de aquisição de dados radiométricos de campo no comportamento espectral da cultura do feijão (phaseolus vulgaris  L);ARTIGO;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Engenharia rural;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;Sensoriamento remoto;;;;
Interação homem vaca leiteira: impactos salutares e óbices à produção;ARTIGO;;;;;;;;;;;;
Parâmetros físico-químicos e fracionamento de carboidratos da cana-de-açúcar submetida a diferentes concentrações de óxido de cálcio;ARTIGO;;;;;;;;;;;;
DESEMPENHO DE FÊMEAS BOVINAS EM PASTEJO E EM CONFINAMENTO;ARTIGO;;;;;;;;;;;;
Comportamento reprodutivo em ruminantes;ARTIGO;;;;;;;;;;;;
Formas de apresentação da cana-de-açúcar na alimentação animal;ARTIGO;;;;;;;;;;;;
Caracterização morfológica do trato gastrintestinal de cordeiros da raça Santa Inês submetidos a dietas com silagem de capim-elefante aditivada com casca de maracujá;ARTIGO;CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
CARACTERIZAÇÃO DO PH EM CARCAÇAS DE CORDEIROS SANTA INÊS ALIMENTADOS COM SILAGEM DE CAPIM-ELEFANTE ADITIVADA COM CASCA DE MARACUJÁ;ARTIGO;CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
Desempenho e digestibilidade aparente dos nutrientes em ovinos alimentados com dietas contendo bagaço de cana-de-açúcar tratado com óxido de cálcio;ARTIGO;CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
BALANÇO ENERGÉTICO NEGATIVO;ARTIGO;CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
Inter relações entre anatomia vegetal e degradação ruminal de plantas forrageiras;ARTIGO;CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
Produção de vitelo;ARTIGO;CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
Avaliação do sombreamento artificial na criação de ovinos deslanados na região semi-árida;ARTIGO;CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
ESTUDO DA ZONA DE CONFORTO TÉRMICO PARA OVINOS NA REGIÃO SEMI-ÁRIDA;ARTIGO;CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
Utilização de uréia como fonte de nitrogênio não protéico (NNP) para ruminantes;ARTIGO;CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
TRATAMENTOS E UTILIZAÇÃO DO BAGAÇO E DA CANA-DE-AÇÚCAR (Saccharum officinarum, L) NA ALIMENTAÇÃO DE RUMINANTES;ARTIGO;CIENCIAS_AGRARIAS;Zootecnia;;;;;;;;;;
Zona de conforto térmico de ovinos da raça Santa Inês com base nas respostas fisiológicas;ARTIGO;;;;;;;;;;;;
Diets Based on Sugar Cane Treated with Calcium Oxide for Lambs;ARTIGO;CIENCIAS_AGRARIAS;Zootecnia;Chemical Treatment, Dry Matter, Lime, Roughage;;;;;;;;;
ONLINE SOLID PHASE EXTRACTION AND DETERMINATION OF COPPER IN FOODE SAMPLES USING POLYRETHANE FOAM LOADED WITH METBTANC TO AVALIATION PROCESS;ARTIGO;CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Tecnologia Educacional;CIENCIAS_HUMANAS;Educação;Ensino-Aprendizagem;Métodos e Técnicas de Ensino;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise
Preconcentration system for cadmium and lead determination in environmental samples using polyurethane foam/Me-BTANC;ARTIGO;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Análise de Traços e Química Ambiental;;;;;;;;
On-line preconcentration and determination of cadmium, cobalt and nickel in food samples by Flame Atomic Absorption Spectrometry using a new fuctionalized resin;ARTIGO;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Métodos Óticos de Análise;;;;
A comparative study of two sorbents for copper in a flow injection preconcentration system;ARTIGO;CIENCIAS_EXATAS_E_DA_TERRA;Química;;;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Análise de Traços e Química Ambiental;;;;
Determination of copper in biological samples by flame atomic absorption spectrometry after precipitation with Me-BTAP;ARTIGO;;;;;;;;;;;;
An on-line preconcentration system for the determination of urnium in water and effluent samples;ARTIGO;CIENCIAS_EXATAS_E_DA_TERRA;Química;;;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;;;;;
DETERMINAÇÃO DOS TEORES DE NITRITOS EM AMOSTRAS DE QUEIJOS TIPO PRATO COMERCIALIZADOS NA CIDADE DE VITÓRIA DA CONQUISTA - BAHIA;ARTIGO;ENGENHARIAS;Engenharia Sanitária;;;;;;;;;;
APLICAÇÃO DE RESINAS POLIMÉRICAS NA SEPARAÇÃO E PRÉ - CONCENTRAÇÃO DE CROMO;ARTIGO;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Análise de Traços e Química Ambiental;;;;;;;;
ESPECTROMETRIA DE FLUORESCÊNCIA DE RAIOS-X NA DETE RMINAÇÃO DE ESPÉCIES QUÍMICAS;ARTIGO;CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Instrumentação Analítica;;;;;;;;
Formato de Raízes e Resistência de Clones de Batata-doce a Insetos do Solo;ARTIGO;CIENCIAS_AGRARIAS;Agronomia;Olericultura;;CIENCIAS_AGRARIAS;Agronomia;Holericultura;Produção vegetal;CIENCIAS_AGRARIAS;Agronomia;Fitotecnia;Melhoramento Vegetal
Produtividade de Raízes e Ramas de Clones de Batata-doce;ARTIGO;CIENCIAS_AGRARIAS;Agronomia;Olericultura;;CIENCIAS_AGRARIAS;Agronomia;Holericultura;Produção vegetal;;;;
Coleta de Clones e Formação de banco de germoplasma de batata-doce no Vale do Jequitinhonha;ARTIGO;CIENCIAS_AGRARIAS;Agronomia;Olericultura;;CIENCIAS_AGRARIAS;Agronomia;Holericultura;Produção vegetal;;;;
Selection of sweet potato clones for the region Alto Vale do Jequitinhonha;ARTIGO;;;;;;;;;;;;
Potencial de silagens de ramas de batata-doce para alimentação animal;ARTIGO;;;;;;;;;;;;
Caracterização morfológica de acessos de batata-doce do banco de germoplasma da UFVJM, Diamantina;ARTIGO;;;;;;;;;;;;
Resistance of tomato strains to the moth Tuta absoluta imparted by allelochemicals and trichome density;ARTIGO;;;;;;;;;;;;
Avaliação de silagens de ramas de batata-doce;ARTIGO;;;;;;;;;;;;
Características produtivas e qualitativas de ramas e raízes de batata-doce;ARTIGO;;;;;;;;;;;;
Role of allelochemicals and trichome density in the resistance of tomato to whitefly;ARTIGO;;;;;;;;;;;;
Influence of harvest time and cultivation sites on the productivity and quality of sweet potato;ARTIGO;;;;;;;;;;;;
Yellow Stunt, a Tobacco Disease Caused by , in Southern Parts of Brazil;ARTIGO;;;;;;;;;;;;
