TITULO-ARTIGO;ANO-ARTIGO;NOME-PESQUISADOR
Produção e qualidade de pêssego em diferentes sistemas de cultivo.;1999;Adriana Regina Corrent
Armazenamento de pessegos (Prunus persica (L) Batsch) cv. Chiripá em atmosfera modificada (AM);2002;Adriana Regina Corrent
Efeito da Aplicação de 1-Metilciclopropeno na Qualidade e Conservação de Pêssegos (Prunus Persica L.), Cultivar Chiripá.;2003;Adriana Regina Corrent
Conservação de caqui (Diospyros kaki, L.), cv. Fuyu, pela aplicação de 1-metilciclopropeno;2003;Adriana Regina Corrent
Prolongamento da vida de prateleira de pêssegos, cv. Chiripá, pela aplicação de 1-MCP;2003;Adriana Regina Corrent
Efeito do 1-metilciclopropeno na conservação de maçãs 'Royal Gala' em ar refrigerado e atmosfera controlada;2004;Adriana Regina Corrent
Efeito do 1- Metilciclopropeno ( 1-MCP) em maçãs Fuji armazenadas em ar refrigerado e atmosfera controlada.;2005;Adriana Regina Corrent
Periodos de refrigeração antecedendo o armazenamento sob atmosfera controlada na conservação de caqui 'Fuyu';2004;Adriana Regina Corrent
Influence of intermitent warming, low oxygen and high carbon dioxide, 1-MCP and ethylene on woolliness in 'Chiripá' peach;2005;Adriana Regina Corrent
1-Methylcyclopropene in the control of the ripening and in maintenance of quality of 'Royal Gala'apples;2005;Adriana Regina Corrent
Heat Treatmentsto to Control White Rot (Botryosphaeria dothidea) on 'Fuji' Apples;2006;Adriana Regina Corrent
Calidad postcosecha de duraznos 'Marli' producidos em los sistemas integrado y convencional;2008;Adriana Regina Corrent
Efeito do condicionamento sobre a qualidade pós-colheita de pêssegos  Granada ;2008;Adriana Regina Corrent
DANOS DE FRIO E ALTERAÇÕES QUALITATIVAS DURANTE A ARMAZENAGEM REFRIGERADA DE PÊSSEGOS COLHIDOS EM DOIS ESTÁDIOS DE MATURAÇÃO;2008;Adriana Regina Corrent
Postharvest quality of peaches harvested from integrated;2007;Adriana Regina Corrent
Incidência de podridão-branca em frutos de macieira com e sem ferimentos.;2008;Adriana Regina Corrent
CARACTERIZAÇÃO DE GENES DIFERENCIALMENTE EXPRESSOS NA INTERAÇÃO ENTRE MAÇÃ  FUJI  e Botryosphaeria dothidea;2009;Adriana Regina Corrent
EDUCAÇÃO FÍSICA ESCOLAR: OBJETIVOS E COMPETÊNCIAS;2006;Aherton Batista Júnior
Morbidade Surto de hepatite A no município de Ibiracatu, região norte de Minas Gerais: investigação e medidas de controle;2012;Ana Flávia Costa da Silveira Oliveira
NS3 and NS5 Proteins: Important Targets for Anti-Dengue Drug Design;2014;Ana Flávia Costa da Silveira Oliveira
Natural Products as Source of Potential Dengue Antivirals;2014;Ana Flávia Costa da Silveira Oliveira
Dengue Laboratory Diagnosis: Actual Situation and Perspectives;2011;André Silva de Oliveira
Morbidade Surto de hepatite A no município de Ibiracatu, região norte de Minas Gerais: investigação e medidas de controle;2012;André Silva de Oliveira
Enhacement of Dengue-2 E Protein Expression by the Expression of the Precursor Membrane Protein (Prm) of the Dengue-3 Virus;2013;André Silva de Oliveira
NS3 and NS5 Proteins: Important Targets for Anti-Dengue Drug Design;2014;André Silva de Oliveira
Natural Products as Source of Potential Dengue Antivirals;2014;André Silva de Oliveira
Eucalipto irrigado tem de produzir mais: quanto é preciso aumentar a produtividade para custear cada sistema de irrigação;2006;Antonio Clarette Santiago Tavares
Influência do ângulo de visada na resposta espectral da cultura do feijão (Phaseolus vulgaris L.);2006;Antonio Clarette Santiago Tavares
Crescimento do pimentão fertirrigado com K2O;2007;Antonio Clarette Santiago Tavares
Deslocamento miscível do íon sódio proveniente de rejeito de dessalinizadores em colunas de solos;2007;Antonio Clarette Santiago Tavares
Influência da geometria de aquisição de dados radiométricos de campo no comportamento espectral da cultura do feijão (phaseolus vulgaris  L.);2009;Antonio Clarette Santiago Tavares
CO2 laser photoacoustic detection of ethylene emitted by diesel engines used in urban public transports;2010;Carla Gomes Teodoro
Photoacoustic detection and monitoring of pollutant gases from urban public transport;2010;Carla Gomes Teodoro
Formato de Raízes e Resistência de Clones de Batata-doce a Insetos do Solo;2007;Irã Pinheiro Neiva
Produtividade de Raízes e Ramas de Clones de Batata-doce;2007;Irã Pinheiro Neiva
Coleta de Clones e Formação de banco de germoplasma de batata-doce no Vale do Jequitinhonha;2006;Irã Pinheiro Neiva
Selection of sweet potato clones for the region Alto Vale do Jequitinhonha.;2009;Irã Pinheiro Neiva
Potencial de silagens de ramas de batata-doce para alimentação animal;2011;Irã Pinheiro Neiva
